,hawkish,neutral,dovish
덤/NNG,52,24,57
프로모션/NNG,80,44,108
포스트/NNG,400,219,429
지방은행/NNG,407,237,494
남발/NNG,100,46,107
저축액/NNG,53,33,49
인지도/NNG,77,45,63
행과/NNG,29,27,38
디레버리징/NNG,168,114,170
자오/NNG,33,24,32
야루/NNG,2,1,0
광대/NNG,18,11,22
영업망/NNG,71,42,67
앞세워/VV,160,89,167
대차대조표/NNG,521,419,544
재정/NNG;투자/NNG;확대/NNG,7,8,19
대출/NNG;한도/NNG;상향/NNG,14,8,9
대출/NNG;금리/NNG;부담/NNG,26,14,34
금리/NNG;부담/NNG;낮/VV,7,8,7
금리/NNG;최대/NNG;낮/VV,1,0,2
소득/NNG;확충/NNG,10,5,13
노인/NNG,536,331,610
빈곤/NNG,174,93,158
육아/NNG,155,98,188
휴직급/NNG,8,3,5
통상임금/NNG,57,26,61
장래/NNG,299,138,308
인구구조/NNG,145,82,181
과학/NNG,902,353,757
질서/NNG,476,226,542
사회자본/NNG,3,1,5
작업반/NNG,27,9,30
공모전/NNG,65,26,69
수렴/NNG,485,200,450
지출계획/NNG,18,14,21
벤치마킹/NNG,60,30,67
인과관계/NNG,28,19,55
넛지/NNG,3,2,5
초등/NNG,224,116,293
건널목/NNG,3,1,1
교통사고/NNG,138,43,146
경찰청/NNG,206,145,285
생애/NNG,624,328,598
양육/NNG,52,34,50
혼인/NNG,71,19,68
특별공급/NNG,83,38,57
주택구입시/NNG,29,33,33
주택도시기금/NNG,94,61,69
전용주택/NNG,17,3,13
아동/NNG,338,211,321
수당/NNG,286,171,263
유치원/NNG,159,52,132
학급/NNG,22,8,16
운영비/NNG,69,52,74
입학/NNG,187,76,183
근로시간/NNG,154,71,136
유연근무제/NNG,14,14,17
경단/NNG,5,2,14
녀/NNG,28,15,34
휴직/NNG,101,63,146
재취업/NNG,51,38,82
단절/NNG,90,119,147
용시/NNG,80,33,63
인건비/NNG,363,138,281
복직/NNG,27,12,29
복/NNG,251,118,145
남여/NNG,1,0,0
평등/NNG,62,40,90
사업장/NNG,466,206,442
다층/NNG,10,6,18
장체계/NNG,2,0,0
노령/NNG,35,5,39
소득대체율/NNG,16,39,53
사각지대/NNG,188,78,166
취약계층/NNG,524,339,701
임의가입자/NNG,7,3,0
월액/NNG,6,6,13
하한/NNG,135,189,236
상설/NNG,117,35,111
사적/NNG,23,7,25
공적연금/NNG,87,91,174
근속/NNG,42,29,62
상장주식/NNG,90,67,94
재산액/NNG,5,0,2
고령/NNG,336,176,276
농지연금/NNG,29,22,19
재무/NNG;건전성/NNG;강화/NNG,20,19,16
금리/NNG;이미/MAG;상승/NNG,7,5,5
자본/NNG;확충/NNG,367,164,490
부채/NNG;급증/NNG,46,29,43
자기자본/NNG;늘/VV,18,6,17
비용/NNG;늘/VV,120,47,114
지급여력/NNG,120,65,99
신종자본증권/NNG,276,190,312
인상기/NNG,269,116,198
전과/NNG,15,7,17
농산물/NNG;가격/NNG;안정/NNG,19,8,21
실업급여/NNG;확대/NNG,3,3,4
성장/NNG;저성장/NNG,5,3,3
일자리/NNG;확대/NNG,34,19,42
일자리/NNG;안정/NNG,10,5,8
인상/NNG;연착륙/NNG,2,2,3
한시적/VAX;완화/NNG,13,4,16
의료비/NNG;부담/NNG,13,4,15
고용/NNG;증대/NNG,46,11,35
자금/NNG;차질/NNG,4,0,3
소득/NNG;상향/NNG,5,2,3
상향/NNG;부담/NNG,4,2,4
요금/NNG;인하/NNG,63,21,38
소득/NNG;강화/NNG,7,1,3
수요/NNG;많/VA,269,143,294
임금격차/NNG,30,11,20
일터/NNG,41,21,31
준다/VV,681,357,747
실직자/NNG,43,21,52
실업급여/NNG,62,53,94
소득주도성장정책/NNG,25,9,11
양질/NNG,179,90,169
고용창출/NNG,1591,635,1497
유턴기업/NNG,11,3,11
발굴/NNG,773,380,802
예산편성/NNG,90,42,94
비례/NNG,199,116,211
정규직/NNG,358,176,377
사회적책임/NNG,133,50,126
입찰가격/NNG,8,7,17
전담/NNG,388,218,499
매칭/NNG,94,54,154
구인/NNG,234,137,227
구직/NNG,151,103,176
현장실사/NNG,37,4,22
미취/NNG,10,15,26
제작소/NNG,10,8,5
구직자/NNG,81,69,93
워크/NNG,55,36,60
화해/NNG,373,201,371
장기근속/NNG,10,9,12
지원기업/NNG,30,16,30
현원/NNG,11,2,3
일시/NNG,872,469,948
채움/VV,64,52,68
모을/VV,108,37,101
학제/NNG,27,6,4
사증/NNG,14,2,2
간소/NNG,267,134,259
일자리창출기업/NNG,33,13,20
대외경제협력기금/NNG,35,17,24
한국인/NNG,496,161,349
인턴십/NNG,16,10,17
한상/NNG,22,8,22
수료자/NNG,6,4,3
가산점/NNG,53,44,81
선발/NNG,353,138,331
채/VV,32,5,29
명예퇴직/NNG,62,30,62
발령/NNG,146,86,146
사회서비스/NNG,36,11,29
현장점검/NNG,119,79,152
사회보험/NNG,51,79,51
근로장려세제/NNG,22,17,35
비정규직/NNG,480,225,495
시정/NNG,483,207,501
처우/NNG,15,18,26
정사유/NNG,1,0,0
체당금/NNG,3,4,10
수령/NNG,282,152,430
부정수/NNG,23,9,20
징수액/NNG,21,8,21
협력이익배분제/NNG,1,2,1
성과공유제/NNG,23,14,15
법제화/NNG,95,50,105
가점/NNG,116,49,136
협력사/NNG,487,285,476
약속어음/NNG,3,0,19
성별/NNG,39,25,46
가이드라인/NNG,684,331,790
쉼표/NNG,5,3,0
감소분/NNG,75,48,87
사업주/NNG,65,52,81
연월/NNG,3,0,4
연가/NNG,30,11,3
맞춤/VV,104,40,115
구축함/NNG,15,9,15
공/NNG,1093,616,1114
공공청사/NNG,12,6,18
국유지/NNG,36,11,47
공공임대/NNG,359,197,405
기숙사/NNG,102,67,82
대학가/NNG,59,35,45
디딤돌/NNG,194,142,347
우대형/NNG,134,65,75
청약저축/NNG,166,71,145
초음파/NNG,14,6,15
선택진료/NNG,7,4,10
병실/NNG,16,7,29
전액/NNG,893,446,1081
국고지원/NNG,24,17,26
무상교/NNG,7,2,7
소득분위/NNG,90,52,110
상환금액/NNG,36,15,56
채무재조정/NNG,189,108,271
통신요금/NNG,196,116,252
어르신/NNG,45,44,87
보편/NNG,118,52,134
한중일/NNG,135,49,161
로밍/NNG,44,7,14
진입규제/NNG,39,8,34
교통비/NNG,59,25,43
농촌/NNG,309,231,463
광역/NNG,190,113,240
사회안전망/NNG,106,69,200
생계/NNG,141,92,218
중고생/NNG,21,11,17
장애인연금/NNG,21,6,18
양육비/NNG,32,24,53
취약차주/NNG,133,38,104
차주/NNG,655,249,645
치의/NNG,4,0,3
의학/NNG,72,34,75
진학/NNG,53,28,78
정원/NNG,315,227,369
교사/NNG,439,250,501
증원/NNG,84,33,65
이동성/NNG,16,11,18
객관/NNG,205,115,237
기업/NNG;부담/NNG,89,38,82
청소/NNG,65,27,57
경비/NNG,291,96,270
노무/NNG,32,18,27
계약예규/NNG,1,0,2
노임/NNG,7,1,1
노무비/NNG,21,5,6
발주/NNG,299,129,348
구분/NNG,543,252,578
사회적경제/NNG,54,2,37
조달시장/NNG,66,40,62
소규모/NNG,529,308,614
지체상금/NNG,5,1,2
영세기업/NNG,31,14,43
예외적/VAX,224,106,253
선금/NNG,6,12,10
예측가능성/NNG,109,49,97
가부/NNG,10,7,10
입찰공고/NNG,12,11,18
경기/NNG;지표/NNG;호조/NNG,61,49,70
기준가격/NNG;하락/NNG,22,6,27
세웠/VV,288,167,349
가계/NNG;구매력/NNG;증가/NNG,2,0,0
가계/NNG;소득/NNG;확대/NNG,6,6,5
주택/NNG;공급/NNG;확대/NNG,56,23,71
수출/NNG;많이/MAG;늘/VV,3,2,4
소득분배/NNG;개선/NNG,6,2,5
기대/NNG;부작용/NNG,2,0,3
최저임금/NNG;오르/VV,18,14,16
제조업/NNG;부진/NNG,71,30,65
부작용/NNG;완화/NNG,13,4,7
인건비/NNG;부담/NNG,18,7,21
혁신/NNG;성장/NNG,4,2,3
소득/NNG;확보/NNG,6,6,2
공급/NNG;안정/NNG,8,3,11
소득/NNG;성장/NNG,8,4,7
경제/NNG;견인/NNG,19,13,14
소비/NNG;촉진/NNG,83,48,99
거시/NNG;위험/NNG,36,22,25
산업/NNG;성장/NNG,77,33,62
일자리/NNG;줄/VV,60,30,46
안전망/NNG,61,33,74
혁신성장/NNG,97,2,19
내건/VV,113,58,117
어울리/VV,39,20,41
확립/NNG,209,134,216
과실/NNG,219,76,184
이어질지/VV,366,179,348
後/NNG,68,24,68
그은/VV,21,11,27
국정/NNG,958,490,1174
선명/NNG,64,32,67
복리/NNG,225,126,297
후생/NNG,84,38,101
증진/NNG,238,123,205
소득분배/NNG,58,53,62
역점/NNG,205,111,246
장시간/NNG,36,25,36
조화/NNG,254,139,269
도구/NNG,201,148,237
파고든/VV,4,5,11
재생에너지/NNG,19,5,28
지능화/NNG,9,2,3
단/NNG,227,116,262
상용화/NNG,128,43,83
프로세스/NNG,119,72,143
후보군/NNG,79,47,97
해결책/NNG,374,218,521
방치/NNG,339,158,352
존속/NNG,46,31,52
노후보장/NNG,27,23,26
퇴직연금제도/NNG,41,20,32
최저임금제/NNG,6,1,12
치중/NNG,333,148,372
지필/VV,27,8,16
학부/NNG,172,102,201
고용주/NNG,61,43,50
시립/NNG,87,29,83
이렇/VA,698,401,696
주원/NNG,68,34,39
망가지/VV,33,15,42
팔린다는/VV,4,4,2
고용/NNG;개선/NNG,117,74,128
법정최고금리/NNG,167,118,232
일감/NNG,163,85,111
몰아주/VV,118,71,97
대상기업/NNG,123,64,166
삼각/NNG,33,18,33
일감몰아주기과세/NNG,11,2,8
증여의제/NNG,1,0,0
탁송/NNG,1,0,1
품/NNG,128,62,130
탈루/NNG,72,36,74
신고서/NNG,106,44,83
납세의무자/NNG,2,1,3
주소지/NNG,22,9,30
배송/NNG,68,29,88
금지금/NNG,14,6,1
金地/NNG,2,1,0
순도/NNG,8,8,7
출세/NNG,5,2,0
전출/NNG,16,8,10
주소/NNG,102,55,142
거소/NNG,6,2,1
거주자/NNG,384,256,458
상실/NNG,520,261,637
주택구입/NNG,673,343,676
적격합병/NNG,3,0,0
분할/NNG,469,250,482
승계/NNG,183,86,192
양도차익/NNG,44,35,50
과세이연/NNG,10,5,6
근로자수/NNG,36,14,30
기일/NNG,114,56,122
합계/NNG,220,140,286
이월결손금/NNG,4,4,2
세금계산서/NNG,12,6,15
경미/NNG,36,10,33
발아/NNG,2,0,5
맥류/NNG,1,0,2
녹말/NNG,1,0,0
귀리/NNG,3,1,3
호밀/NNG,1,0,4
고구마/NNG,7,2,3
메밀/NNG,4,4,3
함유/NNG,45,16,29
제조/NNG,542,224,532
과세가격/NNG,1,0,0
가격결정/NNG,84,25,94
과세자료/NNG,9,4,4
비정규직근로자/NNG,39,15,38
화고/NNG,36,19,31
자영업자/NNG,1078,671,1236
폐업/NNG,164,136,248
출자자/NNG,21,12,27
신성장/NNG,118,68,119
수입금액/NNG,38,14,19
개발비/NNG,35,17,40
가업상속/NNG,10,6,4
가업/NNG,41,31,50
속공/NNG,10,2,6
영위/NNG,157,84,188
연부/NNG,4,1,3
음식점/NNG,211,126,246
의제매입세액공제/NNG,8,4,8
유연탄/NNG,31,34,44
탄력세율/NNG,18,7,46
열량/NNG,13,2,10
수영/NNG,70,42,54
선수/NNG,585,240,606
대회/NNG,1093,561,1115
시공자/NNG,23,13,5
근로장려금/NNG,47,39,35
정액/NNG,141,57,132
홑벌/NNG,12,3,18
맞벌이/NNG,102,79,100
없앤다/VV,71,33,97
국적/NNG,171,95,188
전자어음/NNG,39,7,10
어음/NNG,337,158,356
폐해/NNG,143,63,151
상공/NNG,179,123,143
부가세환급/NNG,22,4,26
관광호텔/NNG,27,14,30
부가세/NNG,471,210,445
대규모점포/NNG,3,1,6
관리비/NNG,145,98,144
비상장주식/NNG,43,16,45
예정신고/NNG,9,3,6
조달청/NNG,50,33,72
유죄/NNG,93,42,104
감점/NNG,35,3,19
참여기업/NNG,32,19,25
격심/NNG,10,9,5
위반자/NNG,13,7,8
체불/NNG,94,60,116
돼도/XSV,203,108,221
아이핀/NNG,7,11,7
공인/NNG,353,193,440
낮/VA;채권시장/NNG;강세/NNG,1,2,2
전망/NNG;예상/NNG;낮/VA,8,2,5
물가/NNG;전망/NNG;높/VA,6,0,3
높/VA;약세/NNG,11,7,15
주안/NNG,20,11,18
윈도드레싱/NNG,185,45,134
관전/NNG,194,110,196
실사/NNG,647,271,683
신뢰지수/NNG,1576,663,1627
주택/NNG;판매가격/NNG;최대/NNG,4,2,5
견고/NNG;상승/NNG,20,9,10
여력/NNG;위축/NNG,3,3,5
수요/NNG;늘/VV,421,173,445
공업/NNG,274,142,286
연쇄점/NNG,177,102,194
이익/NNG;증가율/NNG;둔화/NNG,10,1,6
신용/NNG;하향/NNG,2,2,0
완화/NNG;끝/NNG,3,0,7
비위/NNG,25,28,41
녹색/NNG,259,115,231
그린본드/NNG,41,16,21
환경보호/NNG,55,23,66
쥐어짤/VV,1,0,0
인민/NNG,260,162,290
상보/NNG,694,455,700
국가통계국/NNG,131,65,125
먹혀/VV,18,4,25
소환/NNG,473,202,485
比/NNG,156,71,114
역rp/NNG,564,310,372
험로/NNG,35,8,28
생산자/NNG;물가/NNG;상승/NNG;둔화/NNG,2,1,2
유가/NNG;급등/NNG;강세/NNG,4,3,3
기업/NNG;이익/NNG;성장/NNG,38,12,32
유동성/NNG;흡수/NNG,219,72,164
가격/NNG;뛰/VV,72,34,68
광산도/NNG,1,0,2
종합상사/NNG,37,19,55
물산/NNG,51,24,73
굴러떨어졌/VV,10,5,5
납품/NNG,449,177,427
手/NNG,107,79,105
거래단위/NNG,41,25,59
만수/NNG,161,123,157
출하가격/NNG,4,1,5
보험감독/NNG,34,14,31
보감/NNG,12,6,16
회/NNG,296,157,363
방대/NNG,61,27,59
탄소/NNG,70,31,56
광전/NNG,11,2,9
고속도/NNG,148,105,188
채굴/NNG,95,49,68
자본/NNG;유출입/NNG;모니터링/NNG;강화/NNG,6,2,2
대외/NNG;건전성/NNG;안정/NNG,4,7,5
가계/NNG;소득/NNG;개선/NNG,13,7,17
민간/NNG;소비/NNG;개선/NNG,25,10,12
세계/NNG;교역/NNG;증가/NNG,13,5,13
세계/NNG;경제/NNG;회복/NNG,308,147,283
민간/NNG;소비/NNG;제약/NNG,3,6,5
소비자/NNG;물가/NNG;낮/VA,34,14,23
제품/NNG;수출/NNG;늘/VV,5,1,5
성장동력/NNG;약화/NNG,19,15,17
경제/NNG;확산/NNG,42,13,49
수출/NNG;증가/NNG,403,180,412
수출/NNG;호황/NNG,15,2,10
가계/NNG;부담/NNG,46,24,50
고용률/NNG;높/VA,8,2,1
구매력/NNG;높/VA,18,7,18
걸림돌/NNG;없/VA,16,4,14
향유/NNG,52,12,43
송년/NNG,46,15,26
고심/NNG,305,152,335
흔적/NNG,92,32,98
담겨/VV,177,78,167
녹아들/VV,3,1,7
줄기/NNG,94,30,119
이룬다/VV,43,28,40
내세웠/VV,109,93,157
쌍/NNG,169,79,179
끌/NNG,155,70,173
보호무역주의/NNG,494,345,539
도사리/VV,125,56,103
성장기반/NNG,107,58,80
벽/NNG,254,135,287
성패/NNG,76,41,131
공론/NNG,68,40,151
직결/NNG,266,108,277
열악/NNG,131,61,138
역동/NNG,151,56,158
oecd/NNG,2206,1174,2390
뒤처진/VV,22,14,22
이듬해/NNG,167,92,187
실업/NNG,634,454,929
궤/NNG,82,38,80
고용률/NNG,211,126,295
넓히/VV,268,136,237
골고루/MAG,127,47,90
불공정거래행위/NNG,31,18,26
엄단/NNG,28,23,53
기업지배구조/NNG,104,35,64
순간/NNG,424,184,466
기준점/NNG,118,82,165
유출입/NNG,821,404,817
간단/NNG,262,115,253
넓힐/VV,51,40,52
투자심리/NNG;부정적/VAX;영향/NNG;줄/VV,5,4,6
새롭/VA;불확실성/NNG,10,5,18
정책/NNG;강화/NNG,68,20,65
바보/NNG,58,28,81
보호무역/NNG,163,102,207
북미자유무역협정/NNG,64,25,33
파기/NNG,62,31,63
인상/NNG;부담/NNG;완화/NNG,1,0,2
심리/NNG;꺾/VV,34,8,22
주식발행/NNG,99,37,111
빛낸/VV,8,4,12
오리/NNG,84,48,114
검출/NNG,203,57,203
새해맞이/NNG,6,5,3
수출/NNG;호조/NNG;설비/NNG;투자/NNG;증가/NNG,5,1,0
설비/NNG;투자/NNG;건설/NNG;투자/NNG;증가/NNG,6,1,6
외환시장/NNG;변동성/NNG;확대/NNG;우려/NNG,3,1,0
원자재/NNG;가격/NNG;상승/NNG;둔화/NNG,5,1,0
주택/NNG;건설/NNG;증가/NNG;둔화/NNG,1,0,1
대외/NNG;여건/NNG;녹록/NNG;않/VX,11,2,12
공공기관/NNG;투자/NNG;확대/NNG,7,3,11
글로벌/NNG;경기/NNG;개선/NNG,50,65,55
물가/NNG;상승률/NNG;둔화/NNG,80,64,99
설비/NNG;투자/NNG;둔화/NNG,20,7,12
민간/NNG;소비/NNG;회복/NNG,63,23,58
투자/NNG;증가/NNG;감소/NNG,3,0,6
회복/NNG;이어지/VV;성장/NNG,2,2,1
세계/NNG;물가/NNG;안정/NNG,5,0,1
전망/NNG;수출/NNG;증가/NNG,6,4,9
수출/NNG;증가/NNG;감소/NNG,4,1,3
고용/NNG;증가/NNG;감소/NNG,3,1,3
투자/NNG;증가/NNG;그치/VV,5,1,3
내수/NNG;안/MAG;좋/VA,5,4,5
oecd/NNG;성장/NNG,16,6,6
대외/NNG;불확실성/NNG,265,127,281
외화부채/NNG;부담/NNG,2,0,4
구매력/NNG;증가/NNG,22,9,15
지수/NNG;긍정적/VAX,41,23,48
완화/NNG;긍정적/VAX,17,8,7
둔화/NNG;불안/NNG,6,3,5
전망/NNG;회복/NNG,10,8,13
견조/NNG;증가/NNG,41,13,39
업황/NNG;호조/NNG,49,17,35
회복/NNG;견고/NNG,9,7,11
환경/NNG;호조/NNG,9,6,5
호조/NNG;성장/NNG,5,2,8
개선/NNG;증가/NNG,6,6,2
소비성향/NNG;높/VA,5,7,9
지수/NNG;증가/NNG,15,5,19
투자/NNG;개선/NNG,18,9,20
건설/NNG;둔화/NNG,6,2,5
고용/NNG;어렵/VA,3,1,0
받쳐/VV,236,107,207
복원/NNG,227,108,247
생산물/NNG,23,8,19
업황/NNG,851,403,980
정조준/NNG,40,16,41
달궈/VV,11,10,8
비록/MAG,466,214,428
오락가락/MAG,191,79,189
소비성향/NNG,115,97,127
꽃길/NNG,1,2,2
외화부채/NNG,118,44,143
사회간접자본/NNG,184,106,284
토목/NNG,93,40,87
도시재생사업/NNG,26,20,22
확/MAG,467,264,514
작전/NNG,327,172,260
담보권/NNG;실행/NNG;유예/NNG,7,1,5
경기/NNG;변동/NNG;취약/NNG,4,4,2
금리/NNG;최대/NNG;인하/NNG,5,3,9
대출/NNG;조건/NNG;강화/NNG,28,12,27
최대/NNG;유예/NNG,7,7,8
재설/NNG,6,8,6
세일앤리스백/NNG,11,2,22
감정평가액/NNG,21,7,17
법원경매/NNG,54,27,45
담보권/NNG,71,22,50
채무조정/NNG,354,193,408
원리금균등상환방식/NNG,27,20,25
무주택자/NNG,271,143,258
담창구/NNG,12,5,17
미래가격/NNG,80,52,90
지식재산권/NNG,37,32,51
동산/NNG,24,29,39
계좌통합관리서비스/NNG,10,6,10
신흥국/NNG;수요/NNG;확대/NNG,4,0,1
인상/NNG;금리/NNG;상승/NNG,7,0,4
자금/NNG;여건/NNG;악화/NNG,3,0,1
수출/NNG;환율/NNG;하락/NNG,7,1,2
서비스업/NNG;성장/NNG,24,10,16
고용자수/NNG;증가/NNG,73,60,109
견조/NNG;성장/NNG,195,53,125
수출/NNG;확대/NNG,127,66,133
소셜벤처/NNG,1,1,0
극동/NNG,35,21,43
기회인/NNG,2,2,6
인상/NNG;최대/NNG,7,3,6
다주택자/NNG,410,158,339
고소득/NNG,135,86,149
법규/NNG,154,66,146
달라집니다/VV,9,12,17
책자/NNG,58,39,61
일급/NNG,6,1,1
월급/NNG,327,136,316
뛴다/VV,52,35,61
상용근로자/NNG,33,9,44
임시직/NNG,59,37,53
일용직/NNG,55,16,50
시간제근로자/NNG,26,19,47
근로기준법/NNG,20,13,15
예산정책처/NNG,142,103,105
비즈니스/NNG,642,352,666
프렌들리/NNG,21,10,10
앞세우/VV,25,17,26
구/VA,2,0,5
희귀/NNG,40,21,22
연말정산/NNG,156,154,209
갱신/NNG,193,108,257
처해질/VV,5,0,6
중위소득/NNG,29,29,33
초/NNG,74,34,66
고등학생/NNG,42,15,49
주거지/NNG,34,47,77
특별자금/NNG,165,96,130
보조/NNG,359,187,400
중소벤처기업부/NNG,20,4,22
최우선/NNG,631,271,599
숙련/NNG,70,36,51
기술자/NNG,43,18,33
소공/NNG,48,21,37
중기부/NNG,29,1,18
목표제/NNG,169,64,131
상환자금/NNG,60,23,44
원천/NNG,249,147,284
지원사/NNG,9,1,1
업안/NNG,2,0,1
땅값/NNG;상승/NNG,36,10,21
하주/NNG,10,0,1
유성/NNG,30,12,17
재공/NNG,5,3,4
모로/NNG,28,30,33
공모/NNG,1578,713,1501
영화관/NNG,38,16,53
신생기업/NNG,19,15,17
총사업비/NNG,45,26,51
짜리/NNG,66,33,85
전시/NNG,215,106,239
협/NNG,301,159,341
약서/NNG,73,22,72
빌미/NNG,516,224,447
땅값/NNG,268,96,234
불편/NNG,540,330,634
진입로/NNG,10,3,5
공사비/NNG,125,73,113
혈세/NNG,106,59,144
원칙/NNG,1460,742,1739
기만/NNG,19,15,29
상처/NNG,160,71,179
간파/NNG,17,8,20
허술/NNG,55,29,69
구속력/NNG,34,19,51
특수목적법인/NNG,33,15,44
소비자/NNG;물가/NNG;국제/NNG;유가/NNG;상승/NNG,6,2,3
전망/NNG;소비자/NNG;물가/NNG;상승/NNG,2,3,2
소비자/NNG;물가/NNG;상승/NNG;둔화/NNG,18,7,14
국제/NNG;유가/NNG;상승/NNG;둔화/NNG,9,1,4
경기/NNG;회복/NNG;안정/NNG,13,7,6
세계/NNG;교역/NNG;회복/NNG,9,3,9
둔화/NNG;유가/NNG;상승/NNG,10,0,3
소비/NNG;증가/NNG;제약/NNG,1,3,4
투자/NNG;수출/NNG;회복/NNG,1,4,2
세계/NNG;경기/NNG;개선/NNG,16,3,12
개선/NNG;수요/NNG;확대/NNG,1,0,0
소비/NNG;여건/NNG;개선/NNG,11,3,7
회복/NNG;수입/NNG;늘/VV,3,0,1
회복/NNG;쉽/VA;않/VX,21,14,21
고용/NNG;불확실성/NNG,4,1,7
기저효과/NNG;성장/NNG,2,0,2
회복/NNG;증가/NNG,5,2,5
소비/NNG;제약/NNG,30,14,35
교역/NNG;늘/VV,11,7,6
낮/VA;성장/NNG,47,36,70
낮/VA;상승/NNG,58,35,56
취업자/NNG,473,245,418
피력/NNG,601,302,628
붐/NNG,415,179,385
제하/NNG,102,69,125
짓눌렀/VV,147,72,125
멍에/NNG,7,2,12
드라이브/NNG,170,101,170
생산가능인구/NNG,78,56,93
획기/NNG,148,67,180
공공/NNG;투자/NNG;확대/NNG,17,8,19
정책/NNG;효과/NNG;높/VV,5,8,19
시스템/NNG;확대/NNG,7,0,6
성장/NNG;효과/NNG,13,9,10
저축/NNG;확대/NNG,3,2,7
보유세/NNG,235,83,222
공평/NNG,70,42,69
일문일답/NNG,306,159,368
추경/NNG,2034,1943,5426
추석/NNG,1611,815,1548
동거/NNG,39,19,38
깔렸/VV,33,20,47
미혼/NNG,45,13,69
여성부/NNG,65,26,71
대화/NNG,994,465,1000
노사정위원회/NNG,11,5,12
물밑/NNG,39,27,43
명퇴/NNG,37,25,47
도규/NNG,25,6,14
기타공공기관/NNG,12,15,12
강요/NNG,210,94,174
부추긴다는/VV,18,11,13
해당자/NNG,4,1,9
원할/VV,88,56,83
한해서/VV,34,21,56
솔선수범/NNG,23,13,37
기회균등/NNG,4,0,1
사다리/NNG,27,18,47
봐서/VV,224,90,267
부피/NNG,4,0,4
혁/NNG,75,67,65
신방안/NNG,25,18,19
기술기업/NNG,67,37,86
예비타당성조사/NNG,19,12,37
버전/NNG,56,25,68
실증/NNG,43,23,56
가다듬/VV,38,14,43
아가/NNG,9,6,11
합계출산율/NNG,13,6,10
수요층/NNG,46,33,69
투자/NNG;안정/NNG;수익/NNG;확보/NNG,3,2,3
단기/NNG;가격/NNG;급등/NNG,5,2,3
가격/NNG;상승/NNG;둔화/NNG,34,15,37
입주/NNG;물량/NNG;부담/NNG,6,2,7
전매/NNG;제한/NNG;강화/NNG,9,1,6
자금/NNG;마련/NNG;부담/NNG,2,2,2
가격/NNG;상승/NNG;꺾/VV,11,7,9
투자/NNG;전망/NNG;밝/VA,16,7,6
투자/NNG;수요/NNG;줄/VV,17,9,20
전망/NNG;밝/VA;않/VX,107,58,98
전세가격/NNG;하락/NNG,43,10,50
전세시장/NNG;안정/NNG,34,11,19
전세가격/NNG;약세/NNG,11,2,3
수요/NNG;위축/NNG,117,51,144
공급/NNG;중단/NNG,46,13,47
대출/NNG;강화/NNG,30,13,22
투자/NNG;위험/NNG,163,73,194
전망/NNG;어둡/VA,86,50,102
가격/NNG;꺾/VV,11,1,8
역전세난/NNG,47,18,42
국지/NNG,228,131,184
공공분양/NNG,51,12,30
억제책/NNG,122,58,137
新/NNG,168,96,208
초과이익환수제/NNG,60,35,31
잠재수요/NNG,33,12,25
가혹/NNG,82,31,85
첫해/NNG,115,60,102
홍수/NNG,200,69,123
인허가/NNG,235,92,233
중심부/NNG,13,14,19
택지/NNG,342,116,298
분양가상한제/NNG,353,121,351
분양계획/NNG,23,10,25
신dti/NNG,47,6,76
청약통장/NNG,181,63,137
극명히/MAG,11,5,15
갈리/VV,113,54,110
진입장벽/NNG,80,39,98
중도금/NNG,641,455,840
무주택/NNG,296,131,265
신중히/MAG,232,107,227
인근지역/NNG,59,27,80
시흥/NNG,26,9,34
외곽/NNG,138,68,109
송파/NNG,238,69,229
트리플악재/NNG,9,2,16
옥죄/VV,150,68,133
공공택지/NNG,194,78,156
노려보/VV,18,7,15
물건/NNG,753,427,838
똘똘한/VA,13,1,4
경기/NNG;악화/NNG,179,72,226
보증료/NNG,322,110,358
자금난/NNG,580,257,961
콜센터/NNG,193,118,194
주택담보대출/NNG;스프레드/NNG;인상/NNG,18,1,9
뇌물/NNG,217,102,261
구형/NNG,100,36,102
선고/NNG,634,218,564
실형/NNG,65,15,75
특검/NNG,378,129,457
고법/NNG,220,58,194
판사/NNG,330,128,301
결심/NNG,151,52,106
공판/NNG,447,99,335
측근/NNG,178,145,238
유착/NNG,70,41,53
위안부/NNG,221,120,217
총체/NNG,172,61,198
운명/NNG,197,110,250
설득/NNG,273,148,353
피해자/NNG,440,319,541
찬반/NNG,194,107,248
결/NNG,184,143,206
바르/VA,81,57,101
양측/NNG,301,198,354
당위/NNG,130,66,110
당원/NNG,56,40,60
무효/NNG,201,105,270
반대파/NNG,28,12,38
보이콧/NNG,35,13,32
경리/NNG,23,13,27
출국/NNG,283,148,296
실소유주/NNG,13,2,11
무더기/NNG,263,105,290
친형/NNG,7,3,8
피고발인/NNG,6,5,13
조모/NNG,16,11,22
관련자/NNG,69,37,104
인물/NNG,758,314,716
교섭단체/NNG,46,28,129
평행선/NNG,47,13,37
집무실/NNG,87,67,108
조율/NNG,549,274,631
담판/NNG,61,26,41
軍/NNG,341,156,321
사이버/NNG,290,131,335
사령부/NNG,77,36,77
댓글/NNG,63,35,69
공작/NNG,44,22,87
비밀/NNG,301,134,271
국방부/NNG,492,223,518
문건/NNG,109,54,123
관여/NNG,162,88,226
국공립/NNG,67,38,51
주택단지/NNG,9,4,16
학점은행제/NNG,4,2,7
학과/NNG,156,82,187
품질/NNG,350,135,365
고/NNG,291,139,286
집단소송/NNG,101,46,157
고의로/MAG,20,11,26
