,hawkish,neutral,dovish
채권/NNG;스프레드/NNG;확대/NNG,0,0,1
안전자산/NNG;선호/NNG;확대/NNG,0,0,2
주택담보대출/NNG;금리/NNG;높/VA,0,0,1
자본/NNG;유출입/NNG;완화/NNG,0,0,1
대내외/NNG;불확실성/NNG;높/VA,0,0,1
국고채/NNG;금리/NNG;하락/NNG,2,0,2
금리/NNG;상승/NNG;부작용/NNG,1,0,1
은행/NNG;유동성/NNG;위험/NNG,1,0,1
기초/NNG;여건/NNG;긍정적/VAX,0,2,1
경기/NNG;회복/NNG;약화/NNG,0,0,3
국제/NNG;유가/NNG;상승/NNG,2,2,6
정책/NNG;여력/NNG;확보/NNG,4,0,7
경상/NNG;수지/NNG;악화/NNG,0,2,2
악화/NNG;재정/NNG;적자/NNG,0,0,1
대외/NNG;수요/NNG;위축/NNG,0,0,1
실물/NNG;경기/NNG;후퇴/NNG,0,0,1
악화/NNG;우려/NNG;확산/NNG,0,0,1
자본/NNG;규제/NNG;강화/NNG,0,0,1
자본/NNG;적립/NNG;부담/NNG,0,0,1
경제/NNG;심리/NNG;악화/NNG,0,0,2
수출/NNG;경기/NNG;부진/NNG,0,0,1
대출/NNG;여력/NNG;축소/NNG,0,0,1
대출/NNG;금리/NNG;상승/NNG,1,0,2
원화/NNG;절상/NNG;압력/NNG,1,2,2
자금/NNG;조달/NNG;확대/NNG,1,1,4
달러인덱스/NNG;약세/NNG,0,0,1
신용위험/NNG;해소/NNG,0,0,1
자산시장/NNG;거품/NNG,4,1,2
신용등급/NNG;하향/NNG,3,2,6
하향/NNG;마이너스/NNG,0,0,1
한계기업/NNG;증가/NNG,1,0,1
신용경색/NNG;우려/NNG,0,0,2
신흥국/NNG;위험/NNG,1,2,1
통제력/NNG;강화/NNG,1,0,1
글로벌/NNG;거품/NNG,0,0,1
수익성/NNG;우려/NNG,0,0,1
금리/NNG;저성장/NNG,0,0,1
하락/NNG;부정적/VAX,0,0,1
경기/NNG;개선/NNG,2,2,5
실물/NNG;충격/NNG,0,0,1
통화/NNG;취약/NNG,0,0,1
위험/NNG;증대/NNG,2,0,3
기대/NNG;강화/NNG,1,0,2
경제/NNG;불안/NNG,2,2,1
경제/NNG;둔화/NNG,0,0,1
수출/NNG;우려/NNG,0,0,2
손실/NNG;위험/NNG,2,0,2
환경/NNG;개선/NNG,0,0,1
수입/NNG;축소/NNG,0,0,1
공급/NNG;확대/NNG,4,0,4
실물/NNG;성장/NNG,0,0,1
성장/NNG;저해/NNG,0,0,2
부채/NNG;증가/NNG,2,0,1
북핵/NNG;위험/NNG,0,0,1
모기지/NNG;늘/VV,0,0,1
코코본드/NNG,0,0,1
명한/NNG,0,1,2
중국발/NNG,3,0,1
약하/VA,9,5,18
교정/NNG,1,1,3
요소/NNG,8,4,11
사안/NNG,1,3,6
대공황/NNG,1,0,1
사뭇/MAG,0,0,1
오래/NNG,0,0,1
수출국/NNG,0,2,4
적어도/MAG,1,3,4
달러인덱스/NNG,3,1,7
드러나/VV,1,1,2
시도/NNG,2,1,6
비협조/NNG,0,0,2
최적/NNG,3,0,7
안전망/NNG,1,0,3
투자자산/NNG,0,0,5
고도화/NNG,0,0,2
공적외환보유/NNG,0,0,1
액/NNG,13,2,11
성과/NNG,21,11,14
거시변수/NNG,3,0,5
방어/NNG,0,3,11
관리변동환율제/NNG,1,1,1
장악/NNG,0,0,1
불완전/NNG,0,0,1
인덱스/NNG,0,0,1
바스켓/NNG,0,0,1
거품/NNG,57,10,28
파생상품/NNG,3,3,5
스필오버/NNG,0,0,1
가스/NNG,1,0,2
대폭/MAG,31,7,46
후퇴/NNG,0,1,4
무형자산/NNG,0,0,1
위반/NNG,0,0,1
시현/NNG,11,4,18
보조/NNG,0,0,5
연금보험/NNG,1,0,1
미스매치/NNG,0,0,1
체류/NNG,0,0,2
진행하/VV,0,0,1
진폭/NNG,0,1,3
띠/VV,1,1,1
바젤/NNG,5,0,7
이행/NNG,6,3,16
자금중개기능/NNG,1,2,7
총자본비율/NNG,0,0,1
달/VV,1,0,3
평판/NNG,0,0,4
수신고/NNG,0,0,1
자/NNG,6,0,7
쉐/NNG,3,0,2
도우/NNG,0,0,2
뱅/MAG,0,0,1
킹/MAG,1,0,1
영한/VA,0,0,1
북핵/NNG,2,0,7
글로벌/NNG;금융시장/NNG;변동성/NNG;확대/NNG,2,1,2
위험/NNG;부각/NNG;안전자산/NNG;선호/NNG,1,0,0
자본/NNG;유출입/NNG;변동성/NNG;완화/NNG,2,1,5
가계/NNG;재무/NNG;건전성/NNG;악화/NNG,1,0,1
기업/NNG;재무/NNG;건전성/NNG;악화/NNG,1,0,1
경제/NNG;회복/NNG;금리/NNG;인상/NNG,1,0,0
경제/NNG;성장/NNG;둔화/NNG;우려/NNG,1,0,0
안정/NNG;경상/NNG;수지/NNG;흑자/NNG,1,0,0
가계/NNG;부채/NNG;구조/NNG;개선/NNG,1,0,2
가계/NNG;이자/NNG;상환/NNG;부담/NNG,2,0,0
가계/NNG;부채/NNG;총량/NNG;증가/NNG,1,1,2
글로벌/NNG;금융시장/NNG;불확실성/NNG,1,1,0
금융시장/NNG;불확실성/NNG;증대/NNG,2,1,2
글로벌/NNG;유동성/NNG;축소/NNG,3,0,1
기업/NNG;투자심리/NNG;악화/NNG,1,0,0
불확실성/NNG;증대/NNG;우려/NNG,1,0,0
금융시장/NNG;위험/NNG;확대/NNG,2,0,0
채권시장/NNG;소폭/MAG;강세/NNG,1,0,0
글로벌/NNG;경기/NNG;둔화/NNG,2,0,4
기대/NNG;인플레이션/NNG;낮/VA,2,0,0
경기/NNG;회복/NNG;긍정적/VAX,2,0,2
대외/NNG;건전성/NNG;양호/NNG,1,0,0
자본/NNG;유출/NNG;환위험/NNG,1,0,0
부동산/NNG;가격/NNG;하락/NNG,3,1,6
은행/NNG;건전성/NNG;악화/NNG,2,0,1
하락/NNG;위안/NNG;약세/NNG,1,0,0
실물/NNG;경제/NNG;부진/NNG,2,0,2
금리/NNG;상승/NNG;제약/NNG,3,0,1
자본/NNG;유출/NNG;억제/NNG,2,1,0
급락/NNG;위안/NNG;절하/NNG,1,0,0
경제/NNG;성장/NNG;약화/NNG,1,0,0
기업/NNG;매출/NNG;감소/NNG,1,0,0
경제/NNG;회복/NNG;부담/NNG,1,0,0
가계/NNG;기업/NNG;부실/NNG,1,0,1
기업/NNG;부실/NNG;위험/NNG,1,0,1
은행/NNG;손실/NNG;흡수/NNG,1,0,0
상환/NNG;부담/NNG;완화/NNG,1,0,0
투자/NNG;수요/NNG;위축/NNG,1,0,0
가계/NNG;대출/NNG;위험/NNG,1,0,1
재정/NNG;건전성/NNG;높/VA,1,0,0
하락/NNG;가능성/NNG;낮/VA,1,0,0
회복/NNG;부담/NNG;줄/VV,1,1,0
은행/NNG;부담/NNG;크/VV,1,0,0
부실/NNG;우려/NNG;높/VA,2,0,0
신용스프레드/NNG;확대/NNG,4,0,4
우려/NNG;높/VA;않/VX,1,0,0
전망/NNG;쉽/VA;않/VX,1,0,0
경제/NNG;불확실성/NNG,3,2,2
한계기업/NNG;취약/NNG,1,0,1
금융안정/NNG;훼손/NNG,1,0,0
경제/NNG;경착륙/NNG,1,0,2
부정적/VAX;위험/NNG,1,0,0
신용/NNG;위축/NNG,1,0,2
위험/NNG;완화/NNG,3,0,1
자금/NNG;확보/NNG,1,1,2
소비/NNG;성장/NNG,1,0,0
수익/NNG;확대/NNG,1,0,0
지수/NNG;상승/NNG,1,0,1
지표/NNG;양호/NNG,1,0,1
변동성/NNG;크/VV,5,0,3
안정성/NNG;높/VV,2,0,0
수요/NNG;늘/VV,3,0,2
투자/NNG;짧/VA,1,0,0
위험/NNG;크/VV,4,0,0
맺/VV,1,0,1
제발/MAG,1,0,0
중간재/NNG,1,0,0
충족/NNG,2,1,7
사실상/MAG,4,1,1
특수/NNG,4,3,9
횡보/NNG,3,1,6
부하/NNG,1,2,1
편익/NNG,1,2,6
경상거래/NNG,34,6,23
자본거래/NNG,38,8,30
안정판/NNG,1,0,0
공식/NNG,2,1,1
신뢰도/NNG,5,1,3
지향/NNG,1,1,1
시험/NNG,1,1,0
의문/NNG,4,3,10
개/NNG,36,11,23
경착륙/NNG,2,1,6
중국시장/NNG,1,0,0
향안/NNG,1,0,0
정세/NNG,4,1,5
강하/VV,8,5,4
결정시점/NNG,2,0,0
참석자/NNG,1,0,0
얻/VV,6,3,16
보편/NNG,2,0,0
엔달러/NNG,6,7,9
모아/VV,1,0,0
테이퍼/NNG,2,1,4
시가총액/NNG,3,2,1
순매도세/NNG,1,0,1
미간/NNG,3,1,6
비동/NNG,1,0,0
변동환율제/NNG,2,1,1
한다거나/XSV,2,0,1
산유국/NNG,6,2,6
마땅/NNG,3,0,2
찾/VV,9,2,10
그레이스완/NNG,1,0,0
시하/NNG,5,0,2
환전/NNG,2,1,1
가용/NNG,1,0,5
악순환/NNG,13,4,15
처할/VV,4,0,3
새해/NNG,2,0,0
거래일/NNG,1,0,0
핵/NNG,4,0,5
실험/NNG,1,0,0
겹친/VV,2,1,0
버텨/VV,1,0,0
금액/NNG,4,2,4
덜하/VA,1,0,0
차별/NNG,6,6,9
호/NNG,13,2,15
예전/NNG,4,0,2
중기물/NNG,1,0,2
경제분석/NNG,1,0,0
조사국/NNG,4,0,1
급감/NNG,3,1,6
다변화/NNG,3,2,11
하이일드/NNG,3,2,7
발달/NNG,2,2,5
잠재력/NNG,13,3,27
매출/NNG,8,1,6
구조개/NNG,1,0,0
옥석/NNG,2,0,0
가려질/VV,1,0,0
포인트/NNG,26,9,46
타당/NNG,5,2,10
처한/VV,2,1,1
기울여/VV,2,2,1
예방/NNG,3,1,6
다원화/NNG,1,0,0
저변/NNG,1,0,1
급속/NNG,7,1,12
훼손/NNG,13,6,20
사회적비용/NNG,4,0,0
자상/NNG,1,0,0
사모사채/NNG,3,0,1
경색/NNG,5,3,13
경쟁심/NNG,1,0,0
무담보/NNG,4,0,4
체자/NNG,1,0,0
멈추/VV,6,0,8
성숙도/NNG,1,1,0
대손충당금비율/NNG,2,0,0
부도율/NNG,13,2,16
쌓/VV,2,0,0
시산/NNG,1,1,4
가정/NNG,5,3,5
모/NNG,6,4,7
복/NNG,3,1,6
합/NNG,3,2,3
도달성/NNG,1,0,0
담당/NNG,13,4,18
축/NNG,7,0,3
외국인/NNG;투자자금/NNG;유출/NNG;우려/NNG,0,0,2
회사채/NNG;시장/NNG;스프레드/NNG;확대/NNG,0,0,1
완화/NNG;fed/NNG;금리/NNG;인상/NNG,0,0,1
국채/NNG;금리/NNG;상승/NNG;제한적/VAX,0,0,1
국채/NNG;금리/NNG;상승/NNG;압력/NNG,1,0,1
금리/NNG;상승/NNG;압력/NNG;낮/VA,0,0,1
국채/NNG;금리/NNG;오르/VV;않/VX,0,0,1
금융시장/NNG;변동성/NNG;완화/NNG,1,0,2
회사채/NNG;스프레드/NNG;확대/NNG,1,1,1
긍정적/VAX;효과/NNG;부정적/VAX,0,1,1
fed/NNG;유동성/NNG;흡수/NNG,0,0,1
긍정적/VAX;영향/NNG;부정적/VAX,0,0,1
금리/NNG;스프레드/NNG;확대/NNG,2,0,2
노동/NNG;생산성/NNG;하락/NNG,0,0,1
경제/NNG;성장률/NNG;상회/NNG,0,0,1
장단기/NNG;금리/NNG;상승/NNG,1,0,1
통안채/NNG;발행/NNG;축소/NNG,0,0,1
경제/NNG;예상/NNG;회복/NNG,0,0,1
만약/NNG;금리/NNG;인상/NNG,0,0,1
원화/NNG;하락/NNG;압력/NNG,0,0,1
경제/NNG;불안/NNG;확산/NNG,0,0,1
차주/NNG;상환/NNG;부담/NNG,0,0,1
단기/NNG;금리/NNG;급등/NNG,0,0,1
대외/NNG;금리/NNG;인상/NNG,0,0,1
부진/NNG;금리/NNG;인상/NNG,0,0,1
금융시장/NNG;충격/NNG;줄/VV,0,0,2
금리/NNG;인상/NNG;충격/NNG,1,0,1
잠재/NNG;성장률/NNG;낮/VA,0,0,1
회복/NNG;강하/VA;못하/VX,0,0,1
채권/NNG;금리/NNG;높/VA,0,0,1
채권/NNG;금리/NNG;낮/VA,0,0,1
유출/NNG;우려/NNG;크/VV,0,0,1
시장리스크/NNG;신용위험/NNG,0,0,2
마이너스금리/NNG;확대/NNG,0,0,1
기간프리미엄/NNG;확대/NNG,1,0,2
통화정책/NNG;제약/NNG,0,1,2
외환시장/NNG;하락/NNG,0,0,1
하락/NNG;기저효과/NNG,0,0,2
신용위험/NNG;아니/VCN,0,0,1
금융시장/NNG;경계/NNG,0,0,1
구조조정/NNG;촉진/NNG,0,2,1
부정적/VAX;효과/NNG,0,3,4
재투자/NNG;중단/NNG,0,0,2
당분간/MAG;성장/NNG,1,0,2
위험/NNG;제한적/VAX,0,0,1
과도/NNG;우려/NNG,0,0,2
지표/NNG;호조/NNG,2,0,1
생산/NNG;부진/NNG,1,0,1
성장/NNG;둔화/NNG,2,2,1
수요/NNG;증가/NNG,6,0,5
가계/NNG;부담/NNG,1,0,2
수요/NNG;증대/NNG,2,0,7
급감/NNG;부진/NNG,0,0,1
생산성/NNG;높/VA,0,0,1
예상/NNG;낮/VA,0,0,4
높/VA;위험/NNG,2,0,1
비유/NNG,0,0,1
환시장/NNG,1,0,3
내리/VV,6,5,10
취하/NNG,4,1,12
가파/NNG,0,0,5
지로/NNG,1,0,2
변할/VV,1,0,2
상보/NNG,5,1,10
알림/VV,0,0,1
사전/NNG,25,10,49
수립/NNG,2,5,7
imfsdr통화바스켓/NNG,0,0,2
확정/NNG,0,0,3
식/NNG,3,0,3
누리/VV,1,0,1
효익/NNG,0,0,1
을/NNG,32,8,13
포워드가이던스/NNG,0,1,9
가이던스/NNG,0,0,3
관심사/NNG,2,1,3
고용시장/NNG,12,2,10
생산성/NNG,4,2,6
보/NNG,3,0,5
유채/NNG,0,0,1
시한/NNG,2,0,3
인해서/VV,0,5,15
움직이/VV,15,14,30
빨라진다/VA,0,0,1
단시점/NNG,0,0,1
입/VV,8,1,7
공언/NNG,0,0,1
중장기물/NNG,1,0,1
신흥시장/NNG,7,5,6
패턴/NNG,18,3,14
국외/NNG,28,17,50
튼튼/NNG,0,0,1
동요/NNG,4,1,4
그러/VA,0,0,1
혁/NNG,0,0,1
위안화자산/NNG,0,0,1
신흥국지수/NNG,0,0,5
일회성/NNG,1,0,1
선진국지수/NNG,0,2,3
선진시장/NNG,0,1,3
협력/NNG,9,4,17
득실/NNG,1,0,1
득/NNG,1,0,1
기저효과/NNG,20,5,27
망하/VA,0,0,1
협의체/NNG,4,0,2
능/NNG,1,0,3
증빙/NNG,0,0,1
대출시/NNG,1,0,3
거치/NNG,0,0,2
단기자금/NNG,12,3,18
행과/NNG,0,2,13
긴밀/NNG,2,3,6
정보의비대칭/NNG,0,0,1
군집/NNG,2,0,1
능동/NNG,2,0,2
기일물/NNG,0,0,4
자금시장/NNG,6,0,4
공개시장/NNG,1,0,2
렴/NNG,0,0,2
입찰/NNG,0,0,5
선정/NNG,5,3,14
기울이/VV,1,2,8
바이백/NNG,0,0,1
계기/NNG,6,0,7
한미/NNG,3,0,11
국채시장/NNG,4,1,12
전파/NNG,0,0,3
시장리스크/NNG,0,1,4
영업용/NNG,0,0,2
순자본비율/NNG,0,0,2
편입비중/NNG,0,0,1
막론/NNG,1,0,1
유출입/NNG;환율/NNG;변동성/NNG;확대/NNG,1,0,0
기업/NNG;대출/NNG;증가/NNG;확대/NNG,1,0,1
집단/NNG;대출/NNG;관리/NNG;강화/NNG,1,0,0
경상/NNG;수지/NNG;흑자/NNG;높/VA,1,0,0
글로벌/NNG;금융시장/NNG;충격/NNG,1,0,0
국제/NNG;금융시장/NNG;긴축/NNG,1,0,0
집단/NNG;대출심사/NNG;강화/NNG,1,0,0
주택가격/NNG;하락/NNG;압력/NNG,1,0,0
상환능력/NNG;심사/NNG;강화/NNG,1,0,0
경제/NNG;장기/NNG;저성장/NNG,1,0,0
경기/NNG;회복/NNG;부정적/VAX,2,1,0
실물/NNG;경제/NNG;활성화/NNG,1,0,0
수출/NNG;투자/NNG;부진/NNG,1,0,0
자국/NNG;통화/NNG;하락/NNG,1,0,0
해외/NNG;투자/NNG;촉진/NNG,1,0,2
하방/NNG;압력/NNG;완화/NNG,1,0,0
노동/NNG;공급/NNG;증가/NNG,2,1,1
기업/NNG;업황/NNG;부진/NNG,1,0,0
경제/NNG;안정/NNG;저해/NNG,2,0,0
가격/NNG;하향/NNG;압력/NNG,1,0,0
국채/NNG;금리/NNG;상승/NNG,1,1,2
경제/NNG;성장률/NNG;높/VA,1,1,0
높/VA;시장/NNG;충격/NNG,1,0,0
국채/NNG;금리/NNG;높/VA,1,0,0
변동성/NNG;높/VA;않/VX,1,0,0
인플레이션/NNG;위험/NNG,4,0,0
채권시장/NNG;일시적/VAX,1,0,0
유동성함정/NNG;빠지/VV,1,0,0
분양시장/NNG;활황/NNG,1,0,0
금융위기/NNG;위축/NNG,1,0,0
분양시장/NNG;회복/NNG,1,0,0
주택시장/NNG;활력/NNG,1,0,0
순이자마진/NNG;낮/VA,1,0,0
수출/NNG;감소/NNG,5,1,4
금리/NNG;상회/NNG,1,0,0
부진/NNG;위험/NNG,1,0,0
신용/NNG;증가/NNG,2,0,1
신용/NNG;급증/NNG,1,0,0
주택/NNG;증가/NNG,1,0,0
해지/NNG;어렵/VA,1,0,0
실수요/NNG;늘/VV,1,0,0
필/VV,5,2,2
협정문/NNG,1,0,0
참여국/NNG,2,0,0
공동선언문/NNG,2,0,0
장단점/NNG,2,1,2
정상급/NNG,2,0,0
외국환/NNG,2,0,2
비거주자/NNG,5,0,3
거래규제/NNG,1,0,1
가입/NNG,1,0,2
공표/NNG,5,2,4
역외시장/NNG,1,0,1
비전통적/VAX,2,0,6
동감/NNG,1,2,7
모드/NNG,1,0,0
책무/NNG,4,5,5
식이/NNG,2,0,0
발굴/NNG,4,0,7
민간기업/NNG,3,0,1
얼/VV,1,0,0
마나/NNG,1,0,0
하부/NNG,1,0,0
활발/NNG,21,6,22
필립스곡선/NNG,1,0,0
유동성함정/NNG,4,0,5
비효율/NNG,2,0,3
빠지/VV,9,4,13
약/NNG,15,3,9
미국발/NNG,1,0,1
공정무역/NNG,1,0,0
확립/NNG,2,0,0
실천/NNG,1,0,1
상해/NNG,1,0,0
무역결제/NNG,7,4,8
진/NNG,5,0,10
공공기관/NNG,1,0,2
창출/NNG,5,1,4
공존/NNG,3,0,2
급증/NNG,17,11,17
동행/NNG,29,8,11
걸치/VV,14,6,18
용이성/NNG,1,0,0
담보부/NNG,3,3,1
투자가/NNG,11,3,10
태/VV,1,0,0
적한/NNG,2,1,1
당연/NNG,2,0,0
용이/NNG,3,3,4
가려/VV,1,0,0
정기/NNG,13,4,25
비동조화/NNG,1,1,3
활황/NNG,1,0,3
재기/NNG,1,0,0
경제구조/NNG,4,2,4
충/NNG,3,0,3
분하/VV,1,0,0
의문시/NNG,1,0,0
이자이익/NNG,1,0,0
처해/VV,5,0,0
자발/NNG,1,0,2
해서/XSV,25,17,46
여전사/NNG,3,1,3
순응/NNG,2,0,5
은행업/NNG,1,1,1
금융감독당국/NNG,6,13,7
달하/VV,5,1,9
멸실/NNG,2,0,0
생하/VV,4,1,2
상응/NNG,5,0,3
계약자/NNG,1,0,0
소/NNG,14,2,9
fed/NNG;금리/NNG;인상/NNG;경기/NNG;둔화/NNG,1,0,0
국제/NNG;금융시장/NNG;변동성/NNG;높/VA,1,0,0
양호/NNG;fed/NNG;금리/NNG;인상/NNG,1,0,0
경제/NNG;경상/NNG;수지/NNG;흑자/NNG,2,0,0
금리/NNG;인상/NNG;성장/NNG;둔화/NNG,1,0,0
회사채/NNG;발행/NNG;금리/NNG;높/VA,1,0,0
회사채/NNG;신용스프레드/NNG;확대/NNG,2,0,0
자금/NNG;조달/NNG;비용/NNG;낮/VA,1,0,0
크레딧/NNG;신용스프레드/NNG;확대/NNG,1,0,0
신용스프레드/NNG;소폭/MAG;확대/NNG,1,0,0
대손충당금/NNG;적립/NNG;강화/NNG,1,0,0
크레딧/NNG;스프레드/NNG;확대/NNG,1,0,1
외국인/NNG;채권투자/NNG;위축/NNG,1,0,0
재정거래/NNG;유인/NNG;약화/NNG,3,1,2
gdp/NNG;증가율/NNG;상회/NNG,1,0,0
기업/NNG;구조조정/NNG;촉진/NNG,1,0,0
실물/NNG;경제/NNG;긍정적/VAX,2,0,0
크레딧/NNG;금리/NNG;상승/NNG,1,1,1
수출/NNG;환경/NNG;악화/NNG,2,0,0
기업/NNG;부실/NNG;우려/NNG,1,0,0
부채/NNG;상환/NNG;부담/NNG,1,0,1
정책/NNG;지원/NNG;강화/NNG,1,0,0
기업/NNG;대출/NNG;부실/NNG,1,0,0
자본/NNG;유입/NNG;감소/NNG,1,0,0
채권/NNG;스프레드/NNG;높/VA,1,0,0
대출/NNG;많이/MAG;늘/VV,1,1,0
신용스프레드/NNG;축소/NNG,3,0,3
채권시장/NNG;불확실성/NNG,1,0,0
투자수익률/NNG;하락/NNG,1,0,1
순이자마진/NNG;하락/NNG,1,0,0
업황/NNG;좋/VA;않/VX,1,0,0
신용등급/NNG;강등/NNG,1,0,1
구조조정/NNG;압력/NNG,1,0,0
변동성/NNG;과도/NNG,1,0,0
건전성/NNG;훼손/NNG,1,0,1
장기물/NNG;양호/NNG,1,0,0
경제/NNG;경계/NNG,1,0,0
수출/NNG;위축/NNG,1,0,2
생산/NNG;개선/NNG,2,0,0
대출/NNG;증가/NNG,3,0,0
금리/NNG;급등/NNG,4,1,5
기준년도/NNG,1,0,0
교역국/NNG,2,0,5
부합/NNG,3,1,9
분명/MAG,13,4,11
대비책/NNG,5,1,1
차별적우위/NNG,1,0,0
가절/NNG,1,0,0
뉴스/NNG,3,1,0
중시/NNG,3,3,9
분위기/NNG,6,1,9
테이퍼텐트럼/NNG,1,0,0
국가부도위험/NNG,1,0,0
고가품/NNG,1,0,0
제품/NNG,34,8,17
중저가/NNG,1,0,0
품은/NNG,1,0,0
품/NNG,2,1,3
샌드위치/NNG,2,0,0
표현/NNG,3,2,2
재정거래/NNG,29,5,24
재발/NNG,1,2,7
방지/NNG,13,5,24
걸림돌/NNG,2,0,1
외국인투자등록제도/NNG,1,0,0
폐지/NNG,2,0,3
존치/NNG,1,0,0
자유/NNG,4,3,4
만기구조/NNG,4,1,6
소위/NNG,2,1,9
자동안정화장치/NNG,1,0,0
유사시/NNG,3,0,7
통화불일치/NNG,3,2,1
강등/NNG,1,0,2
일차/NNG,1,0,3
수출기업/NNG,13,6,15
이어져야/VV,1,0,0
중화/NNG,2,0,2
버금가/VV,3,0,1
동태/NNG,3,0,2
간과/NNG,7,2,5
제치/NNG,2,0,0
용도/NNG,6,7,13
입/NNG,22,5,10
국제경쟁력/NNG,1,0,0
다수/NNG,9,5,9
하위/NNG,1,0,6
이자보상배율/NNG,1,1,6
명목/NNG,29,5,30
사용/NNG,19,5,25
운전자금/NNG,11,3,5
시설자금/NNG,3,6,1
오피스텔/NNG,1,0,0
구입자금/NNG,1,0,0
신용위기/NNG,10,1,5
절차/NNG,2,0,6
상정/NNG,2,2,5
여전채/NNG,1,1,1
외형/NNG,9,0,3
준수/NNG,9,2,4
되돌/VV,3,0,0
경영층/NNG,1,0,0
역전폭/NNG,2,1,1
압축/NNG,1,0,0
캐피털/NNG,1,0,0
사태/NNG,18,4,53
편승/NNG,2,0,0
연명/NNG,1,0,0
금리/NNG;인상/NNG;시장/NNG;금리/NNG;상승/NNG,0,1,0
안전자산/NNG;선호/NNG;성향/NNG;강화/NNG,0,1,0
국제/NNG;금융시장/NNG;변동성/NNG;크/VV,0,1,3
신흥국/NNG;자국/NNG;통화/NNG;방어/NNG,0,1,0
금리/NNG;인상/NNG;가능성/NNG;증가/NNG,0,1,0
거시/NNG;건전성/NNG;규제/NNG;강화/NNG,0,1,0
기초/NNG;경제/NNG;여건/NNG;개선/NNG,0,1,0
미/NNG;국채/NNG;금리/NNG;하락/NNG,0,1,0
금리/NNG;상승/NNG;이어지/VV;않/VX,0,1,0
외국인/NNG;투자자금/NNG;이탈/NNG,0,1,3
유동성/NNG;위험/NNG;신용위험/NNG,0,1,1
금융시장/NNG;잠재/NNG;위험/NNG,1,2,1
회사채/NNG;시장/NNG;안정/NNG,0,1,0
시스템/NNG;위기/NNG;확산/NNG,0,1,0
장기물/NNG;금리/NNG;하락/NNG,0,1,1
금리/NNG;하락/NNG;제한적/VAX,0,1,1
금융시장/NNG;변동성/NNG;높/VA,0,1,0
가계/NNG;부채/NNG;부정적/VAX,0,1,0
미미/NNG;금리/NNG;인상/NNG,0,1,0
금리/NNG;인상/NNG;완화/NNG,0,1,0
금리/NNG;인상/NNG;위험/NNG,0,1,0
외채/NNG;비중/NNG;축소/NNG,0,1,0
기업/NNG;부채/NNG;부실/NNG,0,1,0
우량등급/NNG;선호/NNG;높/VA,0,1,0
자금/NNG;조달/NNG;제약/NNG,0,1,1
절하/NNG;가능성/NNG;높/VA,0,1,1
금리/NNG;변동성/NNG;크/VV,0,1,3
불안/NNG;가능성/NNG;높/VA,0,2,0
외환보유액/NNG;확충/NNG,0,1,7
부정적/VAX;파급효과/NNG,1,2,0
외환시장/NNG;불안/NNG,5,4,4
금융시장/NNG;취약/NNG,0,1,1
상하방/NNG;위험/NNG,3,1,1
실효환율/NNG;오르/VV,0,1,0
원화/NNG;하락/NNG,0,1,1
안정/NNG;아니/VCN,0,1,0
심리/NNG;불안/NNG,0,1,1
금리/NNG;안정/NNG,2,1,4
경제/NNG;위험/NNG,2,1,0
금리/NNG;내림/NNG,1,1,1
지표/NNG;안정/NNG,0,1,0
원화/NNG;강세/NNG,2,3,10
작/VA;충격/NNG,0,1,0
승한/VV,1,1,2
위안화예금/NNG,4,6,14
대체/MAG,0,1,3
계단/NNG,0,1,0
함수/NNG,0,1,1
비선형/NNG,1,2,3
실증/NNG,3,2,0
상하방/NNG,6,1,1
사고/NNG,11,3,6
기회비용/NNG,1,2,6
란/NNG,0,1,0
보일지/VV,0,3,1
중첩/NNG,0,1,1
실상/NNG,2,1,2
기준환율/NNG,0,2,1
고위/NNG,0,1,2
독점/NNG,1,1,0
인용/NNG,2,3,5
공식적/VAX,2,1,2
통화정책발표문/NNG,0,1,0
문구/NNG,0,3,5
선택/NNG,10,4,8
가져갈/VV,1,1,2
본지/NNG,3,3,1
입금/NNG,4,2,4
콜/NNG,30,3,79
환하/VA,5,2,3
대여금/NNG,0,1,1
흔들/VV,1,3,3
릴/NNG,0,1,0
내림/NNG,3,3,7
욱/MAG,4,1,2
공개시장조작/NNG,4,5,8
간접지원/NNG,0,1,2
전행/NNG,0,2,1
컨틴전시플랜/NNG,0,1,2
접/NNG,0,1,0
위기감/NNG,0,1,1
신용등급간/NNG,1,1,6
위기관리/NNG,2,1,0
전문/NNG,5,2,4
프리/NNG,2,1,1
밝혔으며/VV,4,5,17
자제/NNG,5,3,5
손/NNG,3,2,1
분야/NNG,4,3,6
생겨/VV,0,1,0
차단/NNG,14,3,7
법/NNG,8,2,11
벤치마킹/NNG,0,1,2
차/VV,1,1,0
원금보장형/NNG,0,1,0
원금/NNG,1,2,7
비보장형/NNG,0,2,1
상승시/NNG,6,3,11
고유/NNG,1,4,0
계정/NNG,3,1,1
유동성비율/NNG,0,2,3
증권금융/NNG,1,2,5
코스닥/NNG,1,1,1
공매도/NNG,0,3,1
주체/NNG,2,4,4
거래주체/NNG,0,1,0
차입거래/NNG,0,1,0
자주/MAG,1,1,3
세워/VV,0,2,0
고충/NNG,0,1,0
외리/NNG,0,1,0
검/NNG,6,2,9
서든/NNG,0,1,0
가져/VV,1,2,1
신흥국/NNG;cds/NNG;프리미엄/NNG;상승/NNG,0,0,2
외국인/NNG;투자자금/NNG;이탈/NNG;가속/NNG,0,0,1
